gvkey,iid,datadate,tic,prccd
004839,01,2024-03-08,F,12.18000000
004839,01,2024-03-11,F,12.11000000
004839,01,2024-03-12,F,12.11000000
004839,01,2024-03-13,F,12.37000000
004839,01,2024-03-14,F,12.08000000
004839,01,2024-03-15,F,12.06000000
004839,01,2024-03-18,F,12.18000000
004839,01,2024-03-19,F,12.30000000
004839,01,2024-03-20,F,12.90000000
004839,01,2024-03-21,F,12.92000000
004839,01,2024-03-22,F,12.91000000
004839,01,2024-03-25,F,12.90000000
004839,01,2024-03-26,F,12.44000000
004839,01,2024-03-27,F,13.06000000
004839,01,2024-03-28,F,13.28000000
004839,01,2024-04-01,F,13.29000000
004839,01,2024-04-02,F,13.28000000
004839,01,2024-04-03,F,13.65000000
004839,01,2024-04-04,F,13.21000000
004839,01,2024-04-05,F,13.28000000
004839,01,2024-04-08,F,13.41000000
004839,01,2024-04-09,F,13.54000000
004839,01,2024-04-10,F,13.06000000
004839,01,2024-04-11,F,13.04000000
004839,01,2024-04-12,F,12.61000000
004839,01,2024-04-15,F,12.23000000
004839,01,2024-04-16,F,12.09000000
004839,01,2024-04-17,F,12.04000000
004839,01,2024-04-18,F,12.06000000
004839,01,2024-04-19,F,12.14000000
004839,01,2024-04-22,F,12.88000000
004839,01,2024-04-23,F,12.94000000
004839,01,2024-04-24,F,12.95000000
004839,01,2024-04-25,F,13.04000000
004839,01,2024-04-26,F,12.79000000
004839,01,2024-04-29,F,12.75000000
004839,01,2024-04-30,F,12.15000000
004839,01,2024-05-01,F,12.20000000
004839,01,2024-05-02,F,12.49000000
004839,01,2024-05-03,F,12.43000000
004839,01,2024-05-06,F,12.50000000
004839,01,2024-05-07,F,12.17000000
004839,01,2024-05-08,F,12.15000000
004839,01,2024-05-09,F,12.13000000
004839,01,2024-05-10,F,11.99000000
004839,01,2024-05-13,F,12.33000000
004839,01,2024-05-14,F,12.44000000
004839,01,2024-05-15,F,12.31000000
004839,01,2024-05-16,F,12.38000000
004839,01,2024-05-17,F,12.28000000
004839,01,2024-05-20,F,12.15000000
004839,01,2024-05-21,F,12.15000000
004839,01,2024-05-22,F,12.03000000
004839,01,2024-05-23,F,12.11000000
004839,01,2024-05-24,F,12.16000000
004839,01,2024-05-28,F,11.68000000
004839,01,2024-05-29,F,11.56000000
004839,01,2024-05-30,F,11.77000000
004839,01,2024-05-31,F,12.13000000
004839,01,2024-06-03,F,12.19000000
004839,01,2024-06-04,F,12.03000000
004839,01,2024-06-05,F,12.07000000
004839,01,2024-06-06,F,12.07000000
004839,01,2024-06-07,F,12.15000000
004839,01,2024-06-10,F,12.38000000
004839,01,2024-06-11,F,12.11000000
004839,01,2024-06-12,F,12.08000000
004839,01,2024-06-13,F,11.94000000
004839,01,2024-06-14,F,11.71000000
004839,01,2024-06-17,F,11.85000000
004839,01,2024-06-18,F,11.78000000
004839,01,2024-06-20,F,11.94000000
004839,01,2024-06-21,F,11.84000000
004839,01,2024-06-24,F,12.23000000
004839,01,2024-06-25,F,12.09000000
004839,01,2024-06-26,F,12.11000000
004839,01,2024-06-27,F,12.23000000
004839,01,2024-06-28,F,12.54000000
004839,01,2024-07-01,F,12.76000000
004839,01,2024-07-02,F,12.87000000
004839,01,2024-07-03,F,12.87000000
004839,01,2024-07-05,F,12.84000000
004839,01,2024-07-08,F,12.98000000
004839,01,2024-07-09,F,12.90000000
004839,01,2024-07-10,F,13.17000000
004839,01,2024-07-11,F,13.47000000
004839,01,2024-07-12,F,14.03000000
004839,01,2024-07-15,F,14.23000000
004839,01,2024-07-16,F,14.39000000
004839,01,2024-07-17,F,14.48000000
004839,01,2024-07-18,F,14.55000000
004839,01,2024-07-19,F,13.98000000
004839,01,2024-07-22,F,14.12000000
004839,01,2024-07-23,F,13.83000000
004839,01,2024-07-24,F,13.67000000
004839,01,2024-07-25,F,11.16000000
004839,01,2024-07-26,F,11.19000000
004839,01,2024-07-29,F,11.01000000
004839,01,2024-07-30,F,10.84000000
004839,01,2024-07-31,F,10.82000000
004839,01,2024-08-01,F,10.69000000
004839,01,2024-08-02,F,10.03000000
004839,01,2024-08-05,F,9.71000000
004839,01,2024-08-06,F,9.78000000
004839,01,2024-08-07,F,9.77000000
004839,01,2024-08-08,F,10.13000000
004839,01,2024-08-09,F,10.10000000
004839,01,2024-08-12,F,9.86000000
004839,01,2024-08-13,F,10.14000000
004839,01,2024-08-14,F,10.18000000
004839,01,2024-08-15,F,10.46000000
004839,01,2024-08-16,F,10.51000000
005073,19,2023-08-01,GM,38.12000000
005073,19,2023-08-02,GM,37.39000000
005073,19,2023-08-03,GM,36.92000000
005073,19,2023-08-04,GM,36.57000000
005073,19,2023-08-07,GM,37.09000000
005073,19,2023-08-08,GM,36.84000000
005073,19,2023-08-09,GM,36.26000000
005073,19,2023-08-10,GM,34.16000000
005073,19,2023-08-11,GM,33.89000000
005073,19,2023-08-14,GM,34.07000000
005073,19,2023-08-15,GM,33.30000000
005073,19,2023-08-16,GM,32.82000000
005073,19,2023-08-17,GM,32.92000000
005073,19,2023-08-18,GM,33.12000000
005073,19,2023-08-21,GM,33.27000000
005073,19,2023-08-22,GM,32.93000000
005073,19,2023-08-23,GM,33.56000000
005073,19,2023-08-24,GM,32.88000000
005073,19,2023-08-25,GM,32.95000000
005073,19,2023-08-28,GM,33.12000000
005073,19,2023-08-29,GM,33.46000000
005073,19,2023-08-30,GM,33.39000000
005073,19,2023-08-31,GM,33.51000000
005073,19,2023-09-01,GM,33.54000000
005073,19,2023-09-05,GM,33.28000000
005073,19,2023-09-06,GM,32.82000000
005073,19,2023-09-07,GM,32.57000000
005073,19,2023-09-08,GM,32.95000000
005073,19,2023-09-11,GM,32.62000000
005073,19,2023-09-12,GM,33.47000000
005073,19,2023-09-13,GM,33.66000000
005073,19,2023-09-14,GM,33.66000000
005073,19,2023-09-15,GM,33.95000000
005073,19,2023-09-18,GM,33.34000000
005073,19,2023-09-19,GM,33.96000000
005073,19,2023-09-20,GM,33.20000000
005073,19,2023-09-21,GM,32.71000000
005073,19,2023-09-22,GM,32.58000000
005073,19,2023-09-25,GM,33.06000000
005073,19,2023-09-26,GM,32.26000000
005073,19,2023-09-27,GM,32.35000000
005073,19,2023-09-28,GM,33.16000000
005073,19,2023-09-29,GM,32.97000000
005073,19,2023-10-02,GM,32.47000000
005073,19,2023-10-03,GM,31.38000000
005073,19,2023-10-04,GM,31.04000000
005073,19,2023-10-05,GM,30.31000000
005073,19,2023-10-06,GM,30.90000000
005073,19,2023-10-09,GM,30.99000000
005073,19,2023-10-10,GM,31.48000000
005073,19,2023-10-11,GM,30.98000000
005073,19,2023-10-12,GM,30.32000000
005073,19,2023-10-13,GM,29.66000000
005073,19,2023-10-16,GM,30.06000000
005073,19,2023-10-17,GM,30.33000000
005073,19,2023-10-18,GM,29.48000000
005073,19,2023-10-19,GM,29.33000000
005073,19,2023-10-20,GM,29.66000000
005073,19,2023-10-23,GM,29.22000000
005073,19,2023-10-24,GM,28.56000000
005073,19,2023-10-25,GM,29.01000000
005073,19,2023-10-26,GM,28.55000000
005073,19,2023-10-27,GM,27.22000000
005073,19,2023-10-30,GM,27.36000000
005073,19,2023-10-31,GM,28.20000000
005073,19,2023-11-01,GM,28.00000000
005073,19,2023-11-02,GM,28.80000000
005073,19,2023-11-03,GM,29.77000000
005073,19,2023-11-06,GM,29.11000000
005073,19,2023-11-07,GM,28.41000000
005073,19,2023-11-08,GM,27.56000000
005073,19,2023-11-09,GM,26.65000000
005073,19,2023-11-10,GM,26.85000000
005073,19,2023-11-13,GM,26.90000000
005073,19,2023-11-14,GM,28.20000000
005073,19,2023-11-15,GM,28.14000000
005073,19,2023-11-16,GM,27.48000000
005073,19,2023-11-17,GM,28.03000000
005073,19,2023-11-20,GM,28.52000000
005073,19,2023-11-21,GM,27.90000000
005073,19,2023-11-22,GM,28.10000000
005073,19,2023-11-24,GM,28.18000000
005073,19,2023-11-27,GM,28.50000000
005073,19,2023-11-28,GM,28.89000000
005073,19,2023-11-29,GM,31.60000000
005073,19,2023-11-30,GM,31.60000000
005073,19,2023-12-01,GM,32.36000000
005073,19,2023-12-04,GM,33.07000000
005073,19,2023-12-05,GM,32.68000000
005073,19,2023-12-06,GM,32.91000000
005073,19,2023-12-07,GM,33.51000000
005073,19,2023-12-08,GM,33.75000000
005073,19,2023-12-11,GM,33.58000000
005073,19,2023-12-12,GM,33.42000000
005073,19,2023-12-13,GM,33.99000000
005073,19,2023-12-14,GM,36.25000000
005073,19,2023-12-15,GM,35.73000000
005073,19,2023-12-18,GM,35.44000000
005073,19,2023-12-19,GM,35.87000000
005073,19,2023-12-20,GM,35.47000000
005073,19,2023-12-21,GM,36.25000000
005073,19,2023-12-22,GM,36.02000000
005073,19,2023-12-26,GM,36.13000000
005073,19,2023-12-27,GM,36.08000000
005073,19,2023-12-28,GM,36.20000000
005073,19,2023-12-29,GM,35.92000000
005073,19,2024-01-02,GM,36.05000000
005073,19,2024-01-03,GM,35.27000000
005073,19,2024-01-04,GM,35.49000000
005073,19,2024-01-05,GM,35.99000000
005073,19,2024-01-08,GM,36.70000000
005073,19,2024-01-09,GM,36.54000000
005073,19,2024-01-10,GM,36.31000000
005073,19,2024-01-11,GM,35.86000000
005073,19,2024-01-12,GM,35.26000000
005073,19,2024-01-16,GM,35.39000000
005073,19,2024-01-17,GM,35.01000000
005073,19,2024-01-18,GM,34.58000000
005073,19,2024-01-19,GM,35.51000000
005073,19,2024-01-22,GM,35.32000000
005073,19,2024-01-23,GM,35.23000000
005073,19,2024-01-24,GM,34.70000000
005073,19,2024-01-25,GM,35.16000000
005073,19,2024-01-26,GM,35.18000000
005073,19,2024-01-29,GM,35.39000000
005073,19,2024-01-30,GM,38.15000000
005073,19,2024-01-31,GM,38.80000000
005073,19,2024-02-01,GM,38.87000000
005073,19,2024-02-02,GM,38.91000000
005073,19,2024-02-05,GM,37.79000000
005073,19,2024-02-06,GM,38.03000000
005073,19,2024-02-07,GM,38.72000000
005073,19,2024-02-08,GM,38.65000000
005073,19,2024-02-09,GM,38.56000000
005073,19,2024-02-12,GM,39.28000000
005073,19,2024-02-13,GM,38.31000000
005073,19,2024-02-14,GM,38.37000000
005073,19,2024-02-15,GM,38.99000000
005073,19,2024-02-16,GM,38.70000000
005073,19,2024-02-20,GM,39.01000000
005073,19,2024-02-21,GM,39.49000000
005073,19,2024-02-22,GM,39.34000000
005073,19,2024-02-23,GM,39.63000000
005073,19,2024-02-26,GM,39.79000000
005073,19,2024-02-27,GM,40.18000000
005073,19,2024-02-28,GM,40.63000000
